cahier,piece,title,listed_author,fr_prose,fr_ratio,en_prose,en_ratio,flags
s08-c14,polonais-et-prussiens,Polonais et Prussiens,edmond-bernus,2237,0.89,1,0.25,LOW_PROSE_EN
s08-c15,untitled,Les sonnets de Shakespeare. II.,marie-garnier,1260,0.81,15,0.68,
s08-c15,les-sonnets-de-shakespeare,Les sonnets de Shakespeare,marie-garnier,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s08-c16,les-preoccupations-metaphysiques-des-physiciens-modernes,Les préoccupations métaphysiques des physiciens modernes,georges-sorel,2008,0.90,1,0.25,LOW_PROSE_EN
s09-c01,de-la-situation-faite-au-parti-intellectuel-devant-les-accidents-de-la-gloire-temporelle,De la situation faite au parti intellectuel devant les accidents de la gloire temporelle,charles-peguy,3476,0.92,116,0.95,
s09-c02,quarante-huit,Quarante-Huit,robert-dreyfus,3039,0.91,5,0.62,
s09-c03,the-socialist-party-and-the-trade-unions,The Socialist Party and the Trade Unions,etienne-buisson,0,,400,0.93,COM_MISSING|NO_FR
s09-c04,le-rouet-d-ivoire,Le rouet d'ivoire,emile-moselly,3425,0.92,7,0.58,
s09-c05,la-representation-proportionnelle,La représentation proportionnelle,von-wendt,1914,0.91,6,0.67,
s09-c06,un-episode,Un épisode,daniel-halevy,1077,0.90,221,0.89,
s09-c07,par-le-chemin-des-souvenances,Par le chemin des souvenances,rene-salome,644,0.83,480,0.92,
s09-c08,der-professor-ist-die-deutsche-nationalkrankheit,Der Professor ist die deutsche Nationalkrankheit,gaston-raphael,2162,0.89,7,0.78,
s09-c09,alexandre-weill-ou-le-prophete-du-faubourg-saint-honore,"Alexandre Weill, ou le prophète du Faubourg Saint-Honoré",robert-dreyfus,1480,0.89,237,0.85,
s09-c10,mes-cahiers-rouges-i,Mes cahiers rouges. I,maxime-vuillaume,1153,0.91,215,0.88,
s09-c11,mes-cahiers-rouges,Mes cahiers rouges,maxime-vuillaume,1652,0.91,57,0.90,
s09-c12,mes-cahiers-rouges,Mes cahiers rouges,maxime-vuillaume,2429,0.89,1,0.33,LOW_PROSE_EN
s09-c13,jean-christophe-a-paris-i-la-foire-sur-la-place-1,Jean-Christophe à Paris. I. La foire sur la Place. 1,romain-rolland,2953,0.88,1,0.50,
s09-c14,jean-christophe-in-paris-i-the-fair-on-the-square-2,Jean-Christophe in Paris. I. The Fair on the Square. 2,romain-rolland,872,0.76,409,0.86,COM_MISSING
s09-c15,jean-christophe-a-paris-antoinette,Jean-Christophe à Paris. Antoinette,romain-rolland,3099,0.92,1,0.50,
s09-c16,quand-panurge-ressuscita,Quand Panurge ressuscita,pierre-mille,2993,0.92,120,0.88,
s10-c01,l-enfant-et-la-reine-morte,L'enfant et la reine morte,pierre-mille,4049,0.86,156,0.83,
s10-c02,dix-contes-ecrits-dans-le-nord,Dix contes écrits dans le Nord,pierre-hamp,1924,0.89,34,0.74,
s10-c03,la-peine-des-hommes-i-maree-fraiche,La peine des hommes. I. Marée fraîche,pierre-hamp,1842,0.89,12,0.75,
s10-c04,la-peine-des-hommes,La peine des hommes,pierre-hamp,3456,0.91,4,0.57,
s10-c04,vin-de-champagne,Vin de Champagne,pierre-hamp,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s10-c05,le-portrait-d-ibsen,Le portrait d'Ibsen,andre-suares,3623,0.95,5,0.71,
s10-c06,plus-pres-des-choses,Plus près des choses,rene-salome,1948,0.90,28,0.88,
s10-c07,mes-cahiers-rouges,Mes cahiers rouges,maxime-vuillaume,2917,0.90,9,0.75,
s10-c08,mes-cahiers-rouges-v,Mes cahiers rouges. V,maxime-vuillaume,2441,0.93,708,0.83,
s10-c09,jean-christophe-a-paris,Jean-Christophe à Paris,romain-rolland,78,0.76,3,0.60,
s10-c09,dans-la-maison-1,Dans la maison. 1,romain-rolland,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s10-c10,jean-christophe-a-paris,Jean-Christophe à Paris. II. Dans la maison. 2,romain-rolland,6433,0.92,7,0.70,
s10-c11,mes-cahiers-rouges,Mes cahiers rouges,maxime-vuillaume,557,0.94,33,0.94,
s10-c12,le-travail-de-zarathoustra,Le travail de Zarathoustra,daniel-halevy,1,0.20,2,0.67,LOW_PROSE_FR
s10-c13,a-nos-amis-a-nos-abonnes,"A nos amis, à nos abonnés",charles-peguy,3445,0.90,3,0.75,
s11-c01,visite-a-pascal,Visite à Pascal,andre-suares,1496,0.93,130,0.96,
s11-c02,le-portique,Le portique,gabriel-trarieux,1416,0.83,2,0.67,
s11-c03,l-homme-en-proie-aux-enfants,L'homme en proie aux enfants,albert-thierry,2454,0.85,2,0.67,
s11-c04,la-carte-au-lisere-vert,La carte au liseré vert,georges-delahache,5439,0.92,676,0.77,
s11-c05,israel-zangwill,Israël Zangwill,andre-spire,2022,0.93,313,0.59,
s11-c06,le-mystere-de-la-charite-de-jeanne-d-arc,Le mystère de la charité de Jeanne d'Arc,charles-peguy,4438,0.82,0,,COM_MISSING|NO_EN
s11-c07,jean-christophe,Jean-Christophe. III. La fin du voyage. I. Les amies. 1,romain-rolland,2902,0.94,476,0.83,
s11-c08,jean-christophe,Jean-Christophe. III. La fin du voyage. I. Les amies. 2,romain-rolland,3027,0.95,354,0.81,
s11-c09,mes-cahiers-rouges,Mes cahiers rouges,maxime-vuillaume,3247,0.89,1,0.25,LOW_PROSE_EN
s11-c10,apologie-pour-notre-passe,Apologie pour notre passé,daniel-halevy,2480,0.92,218,0.86,
s11-c11,la-maison-vers-le-lac,La maison vers le lac,joseph-melon,954,0.86,738,0.87,
s11-c12,notre-jeunesse-les-milliet,Notre jeunesse. Les Milliet,charles-peguy,5910,0.94,380,0.97,AUTHOR_MISMATCH(charles-peguy→paul-milliet)
s11-c13,the-milliets-i-up-to-the-threshold-of-exile,The Milliets. I. Up to the Threshold of Exile,paul-milliet,0,,932,0.78,COM_MISSING|NO_FR
s11-c14,the-milliets-ii-farewells,The Milliets. II. Farewells,paul-milliet,0,,617,0.79,COM_MISSING|NO_FR
s12-c01,victor-marie-comte-hugo,"Victor-Marie, comte Hugo",charles-peguy,6700,0.93,940,0.78,
s12-c02,les-amis-des-cahiers,"""Les amis des cahiers""",paul-milliet,1,0.20,279,0.81,COM_PLACEHOLDER|LOW_PROSE_FR
s12-c03,my-first-testament,My First Testament,julien-benda,0,,98,0.92,COM_MISSING|NO_FR
s12-c04,vies-paralleles,Vies parallèles,paul-milliet,2643,0.92,529,0.78,COM_PLACEHOLDER
s12-c05,dialogue-d-eleuthere,Dialogue d'Eleuthère,julien-benda,537,0.73,57,0.88,
s12-c06,les-milliet-v-jours-heureux,Les Milliet. V. Jours heureux,paul-milliet,5321,0.90,48,0.73,COM_PLACEHOLDER
